ORDERLINENUMBER,ORDERNUMBER,QUANTITYORDERED,Cost Per Unit,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Profit
1,10334,34,61,2087,19/11/2004,On Hold,4,11,2004,Trucks and Buses,60,S18_2432,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Small,13
1,10104,34,100,5958,31/01/2003,Shipped,1,1,2003,Classic Cars,151,S12_3148,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2558
1,10417,21,100,3448,13/05/2005,Disputed,2,5,2005,Motorcycles,150,S12_2823,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,1348
1,10371,26,100,4044,23/01/2005,Shipped,1,1,2005,Trucks and Buses,96,S32_1268,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Medium,1444
1,10419,37,100,5203,17/05/2005,Shipped,2,5,2005,Classic Cars,124,S18_1589,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,1503
1,10117,45,83,3754,16/04/2003,Shipped,2,4,2003,Ships,99,S700_3962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,19
1,10362,22,100,3877,05/01/2005,Shipped,1,1,2005,Motorcycles,150,S12_2823,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Not Mentioned,Hirano,Juri,Medium,1677
1,10392,36,100,4036,10/03/2005,Shipped,1,3,2005,Vintage Cars,99,S18_3320,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium,436
1,10124,22,45,996,21/05/2003,Shipped,2,5,2003,Vintage Cars,44,S24_2022,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,Not Mentioned,King,Sue,Small,6
1,10358,41,100,4428,10/12/2004,Shipped,4,12,2004,Trucks and Buses,96,S32_1268,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,328
1,10335,44,100,4746,19/11/2004,Shipped,4,11,2004,Trucks and Buses,96,S32_1268,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Not Mentioned,Nelson,Valarie,Medium,346
1,10263,48,100,6434,28/06/2004,Shipped,2,6,2004,Motorcycles,150,S12_2823,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,Not Mentioned,King,Julie,Medium,1634
